currency,rate_month,rate_to_gbp
GBP,2026-01-01,1.0
GBP,2026-02-01,1.0
GBP,2026-03-01,1.0
GBP,2026-04-01,1.0
GBP,2026-05-01,1.0
GBP,2026-06-01,1.0
EUR,2026-01-01,0.868413
EUR,2026-02-01,0.82698
EUR,2026-03-01,0.847014
EUR,2026-04-01,0.792468
EUR,2026-05-01,0.807958
EUR,2026-06-01,0.856099
USD,2026-01-01,0.775039
USD,2026-02-01,0.771081
USD,2026-03-01,0.804294
USD,2026-04-01,0.795696
USD,2026-05-01,0.746806
USD,2026-06-01,0.807077
JPY,2026-01-01,0.005264
JPY,2026-02-01,0.004997
JPY,2026-03-01,0.005393
JPY,2026-04-01,0.005367
JPY,2026-05-01,0.005036
JPY,2026-06-01,0.004785
