transaction_id,period,cost_centre_id,cost_centre_name,account_code,account_name,account_category,description,currency,amount_local
500001,2026-01-01,CC1001,Metrology Systems - UK Manufacturing,5000,Material Costs,Cost of Sales,Material Costs - Jan 2026,GBP,244865.48
500002,2026-01-01,CC1001,Metrology Systems - UK Manufacturing,5100,Direct Labour,Cost of Sales,Direct Labour - Jan 2026,GBP,93438.17
500003,2026-01-01,CC1001,Metrology Systems - UK Manufacturing,7000,Capital Expenditure,Capital Expenditure,Capital Expenditure - Jan 2026,GBP,5364.42
500004,2026-02-01,CC1001,Metrology Systems - UK Manufacturing,5000,Material Costs,Cost of Sales,Material Costs - Feb 2026,GBP,131937.81
500005,2026-02-01,CC1001,Metrology Systems - UK Manufacturing,5100,Direct Labour,Cost of Sales,Direct Labour - Feb 2026,GBP,136145.95
500006,2026-02-01,CC1001,Metrology Systems - UK Manufacturing,7000,Capital Expenditure,Capital Expenditure,,GBP,35788.88
500007,2026-03-01,CC1001,Metrology Systems - UK Manufacturing,5000,Material Costs,Cost of Sales,Material Costs - Mar 2026,GBP,235793.93
500008,2026-03-01,CC1001,Metrology Systems - UK Manufacturing,5100,Direct Labour,Cost of Sales,Direct Labour - Mar 2026,GBP,129919.09
500009,2026-03-01,CC1001,Metrology Systems - UK Manufacturing,7000,Capital Expenditure,Capital Expenditure,Capital Expenditure - Mar 2026,GBP,32559.77
500010,2026-04-01,CC1001,Metrology Systems - UK Manufacturing,5000,Material Costs,Cost of Sales,Material Costs - Apr 2026,GBP,265460.71
500011,2026-04-01,CC1001,Metrology Systems - UK Manufacturing,5100,Direct Labour,Cost of Sales,Direct Labour - Apr 2026,GBP,103892.93
500012,2026-04-01,CC1001,Metrology Systems - UK Manufacturing,7000,Capital Expenditure,Capital Expenditure,Capital Expenditure - Apr 2026,GBP,34314.85
500013,2026-05-01,CC1001,Metrology Systems - UK Manufacturing,5000,Material Costs,Cost of Sales,Material Costs - May 2026,GBP,250283.65
500014,2026-05-01,CC1001,Metrology Systems - UK Manufacturing,5100,Direct Labour,Cost of Sales,Direct Labour - May 2026,GBP,126650.48
500015,2026-05-01,CC1001,Metrology Systems - UK Manufacturing,7000,Capital Expenditure,Capital Expenditure,Capital Expenditure - May 2026,GBP,54804.56
500016,2026-06-01,CC1001,Metrology Systems - UK Manufacturing,5000,Material Costs,Cost of Sales,Material Costs - Jun 2026,GBP,188779.54
500017,2026-06-01,CC1001,Metrology Systems - UK Manufacturing  ,5100,Direct Labour,Cost of Sales,Direct Labour - Jun 2026,GBP,118783.8
500018,2026-06-01,CC1001,Metrology Systems - UK Manufacturing,7000,Capital Expenditure,Capital Expenditure,Capital Expenditure - Jun 2026,GBP,2584.5
500019,2026-01-01,CC1002,Metrology Systems - Europe Sales,4000,Product Revenue,Revenue,Product Revenue - Jan 2026,EUR,226246.55
500020,2026-01-01,CC1002,Metrology Systems - Europe Sales,4100,Service & Calibration Revenue,Revenue,Service & Calibration Revenue - Jan 2026,EUR,30438.8
500021,2026-01-01,CC1002,Metrology Systems - Europe Sales,6100,Selling & Distribution,Operating Expense,Selling & Distribution - Jan 2026,EUR,16767.58
500022,2026-02-01,CC1002,Metrology Systems - Europe Sales,4000,Product Revenue,Revenue,Product Revenue - Feb 2026,EUR,233039.37
500023,2026-02-01,CC1002,Metrology Systems - Europe Sales,4100,Service & Calibration Revenue,Revenue,Service & Calibration Revenue - Feb 2026,EUR,23751.58
500024,2026-02-01,CC1002,Metrology Systems - Europe Sales,6100,Selling & Distribution,Operating Expense,Selling & Distribution - Feb 2026,EUR,23059.14
500025,2026-03-01,CC1002,Metrology Systems - Europe Sales,4000,Product Revenue,Revenue,Product Revenue - Mar 2026,EUR,336555.04
500026,2026-03-01,CC1002,Metrology Systems - Europe Sales,4100,Service & Calibration Revenue,Revenue,Service & Calibration Revenue - Mar 2026,EUR,35008.41
500027,2026-03-01,CC1002,Metrology Systems - Europe Sales,6100,Selling & Distribution,Operating Expense,Selling & Distribution - Mar 2026,EUR,26418.69
500028,2026-04-01,CC1002,Metrology Systems - Europe Sales,4000,Product Revenue,Revenue,Product Revenue - Apr 2026,EUR,238571.83
500029,2026-04-01,CC1002,Metrology Systems - Europe Sales,4100,Service & Calibration Revenue,Revenue,Service & Calibration Revenue - Apr 2026,EUR,31783.56
500030,2026-04-01,CC1002,Metrology Systems - Europe Sales,6100,Selling & Distribution,Operating Expense,Selling & Distribution - Apr 2026,EUR,44651.22
